DeviceID,Time,Power(kW)
STP 17000TL-10 431,04.02.2020 08:00,0.37
STP 17000TL-10 435,04.02.2020 08:00,0.56
STP 17000TL-10 561,04.02.2020 08:00,0.28
STP 17000TL-10 431,04.02.2020 07:00,0.05
STP 17000TL-10 435,04.02.2020 07:00,0.04
STP 17000TL-10 561,04.02.2020 07:00,0.03
STP 17000TL-10 431,04.02.2020 09:00,1.69
STP 17000TL-10 435,04.02.2020 09:00,1.82
STP 17000TL-10 561,04.02.2020 09:00,0.93
STP 17000TL-10 431,04.02.2020 13:00,4.88
STP 17000TL-10 435,04.02.2020 13:00,4.79
STP 17000TL-10 561,04.02.2020 13:00,4.26
STP 17000TL-10 431,04.02.2020 10:00,4.17
STP 17000TL-10 435,04.02.2020 10:00,3.84
STP 17000TL-10 561,04.02.2020 10:00,2.83
STP 17000TL-10 431,04.02.2020 12:00,3.54
STP 17000TL-10 435,04.02.2020 12:00,3.59
STP 17000TL-10 561,04.02.2020 12:00,3.20
STP 17000TL-10 431,04.02.2020 11:00,4.61
STP 17000TL-10 435,04.02.2020 11:00,4.50
STP 17000TL-10 561,04.02.2020 11:00,3.64
STP 17000TL-10 431,04.02.2020 17:00,0.47
STP 17000TL-10 435,04.02.2020 17:00,0.50
STP 17000TL-10 561,04.02.2020 17:00,0.45
STP 17000TL-10 431,04.02.2020 14:00,2.98
STP 17000TL-10 435,04.02.2020 14:00,3.11
STP 17000TL-10 561,04.02.2020 14:00,2.82
STP 17000TL-10 431,04.02.2020 15:00,2.11
STP 17000TL-10 435,04.02.2020 15:00,2.26
STP 17000TL-10 561,04.02.2020 15:00,2.09
STP 17000TL-10 431,04.02.2020 16:00,2.13
STP 17000TL-10 435,04.02.2020 16:00,2.27
STP 17000TL-10 561,04.02.2020 16:00,2.11
STP 17000TL-10 431,04.02.2020 18:00,0.07
STP 17000TL-10 435,04.02.2020 18:00,0.07
STP 17000TL-10 561,04.02.2020 18:00,0.06
STP 17000TL-10 431,03.02.2020 08:00,0.38
STP 17000TL-10 435,03.02.2020 08:00,0.57
STP 17000TL-10 561,03.02.2020 08:00,0.29
STP 17000TL-10 431,03.02.2020 07:00,0.04
STP 17000TL-10 435,03.02.2020 07:00,0.03
STP 17000TL-10 561,03.02.2020 07:00,0.03
STP 17000TL-10 431,03.02.2020 09:00,1.40
STP 17000TL-10 435,03.02.2020 09:00,1.45
STP 17000TL-10 561,03.02.2020 09:00,0.84
STP 17000TL-10 431,03.02.2020 13:00,10.30
STP 17000TL-10 435,03.02.2020 13:00,9.71
