DeviceID,Time,Power(kW)
STP 17000TL-10 431,05.02.2020 08:00,0.38
STP 17000TL-10 435,05.02.2020 08:00,0.57
STP 17000TL-10 561,05.02.2020 08:00,0.28
STP 17000TL-10 431,05.02.2020 07:00,0.02
STP 17000TL-10 435,05.02.2020 07:00,0.02
STP 17000TL-10 561,05.02.2020 07:00,0.03
STP 17000TL-10 431,05.02.2020 09:00,1.69
STP 17000TL-10 435,05.02.2020 09:00,1.86
STP 17000TL-10 561,05.02.2020 09:00,0.89
STP 17000TL-10 431,05.02.2020 13:00,12.07
STP 17000TL-10 435,05.02.2020 13:00,10.91
STP 17000TL-10 561,05.02.2020 13:00,9.67
STP 17000TL-10 431,05.02.2020 10:00,5.08
STP 17000TL-10 435,05.02.2020 10:00,4.68
STP 17000TL-10 561,05.02.2020 10:00,3.28
STP 17000TL-10 431,05.02.2020 12:00,11.61
STP 17000TL-10 435,05.02.2020 12:00,10.02
STP 17000TL-10 561,05.02.2020 12:00,8.42
STP 17000TL-10 431,05.02.2020 11:00,8.57
STP 17000TL-10 435,05.02.2020 11:00,7.87
STP 17000TL-10 561,05.02.2020 11:00,6.10
STP 17000TL-10 431,05.02.2020 17:00,0.69
STP 17000TL-10 435,05.02.2020 17:00,0.77
STP 17000TL-10 561,05.02.2020 17:00,1.08
STP 17000TL-10 431,05.02.2020 14:00,11.46
STP 17000TL-10 435,05.02.2020 14:00,10.88
STP 17000TL-10 561,05.02.2020 14:00,9.90
STP 17000TL-10 431,05.02.2020 15:00,9.92
STP 17000TL-10 435,05.02.2020 15:00,10.07
STP 17000TL-10 561,05.02.2020 15:00,9.26
STP 17000TL-10 431,05.02.2020 16:00,4.05
STP 17000TL-10 435,05.02.2020 16:00,5.31
STP 17000TL-10 561,05.02.2020 16:00,5.57
STP 17000TL-10 431,05.02.2020 18:00,0.12
STP 17000TL-10 435,05.02.2020 18:00,0.14
STP 17000TL-10 561,05.02.2020 18:00,0.11
